id_site,site_type,latitude,longitude,water_temp,water_salinity,water_ph,dis_oxig,enterococoe,Timestamp,Hour,status
1.0,1.0,26.022198,-111.344895,26.0,32.0,6.74,6.33,594.0,1559865600.0,9.0,0.0
1.0,1.0,25.972652,-111.353132,27.0,32.0,6.74,6.33,722.0,1559865600.0,10.133333333333333,0.0
2.0,1.0,26.056492,-111.329012,26.0,32.0,6.74,6.33,323.0,1559865600.0,9.75,0.0
4.0,1.0,25.741846,-111.258535,28.0,33.0,6.74,6.33,767.0,1559865600.0,11.75,0.0
6.0,2.0,26.013386,-111.339279,23.55,32.6,7.98,6.9,790.0,1402012800.0,11.233333333333333,0.0
6.0,2.0,26.013386,-111.339279,27.41,32.1,8.07,6.9,9600.0,1403049600.0,11.133333333333333,0.0
6.0,2.0,26.013386,-111.339279,28.26,31.0,8.02,5.94,618.0,1411516800.0,9.966666666666669,0.0
6.0,2.0,26.013386,-111.339279,27.07,32.1,7.32,6.01,10112.0,1414454400.0,11.066666666666666,0.0
6.0,2.0,26.013386,-111.339279,27.5,32.4,8.13,5.94,240.0,1441929600.0,9.016666666666667,0.0
6.0,2.0,26.013386,-111.339279,19.5,32.5,7.23,6.74,3130.0,1449705600.0,9.866666666666667,0.0
6.0,2.0,26.013386,-111.339279,20.81,33.0,7.58,6.08,917.0,1452729600.0,9.65,0.0
6.0,2.0,26.013386,-111.339279,24.09,34.4,6.68,8.52,10112.0,1463616000.0,10.716666666666669,0.0
6.0,2.0,26.013386,-111.339279,22.7,32.9,6.63,6.8,10112.0,1493856000.0,10.55,0.0
6.0,2.0,26.013386,-111.339279,17.5,32.0,6.63,6.8,10112.0,1495065600.0,9.533333333333331,0.0
6.0,2.0,26.013386,-111.339279,25.0,31.0,6.7,6.9,4569.0,1497484800.0,9.633333333333333,0.0
6.0,2.0,26.013386,-111.339279,34.0,32.0,6.82,6.09,1246.0,1501718400.0,10.45,0.0
6.0,2.0,26.013386,-111.339279,32.0,32.0,6.96,5.94,983.0,1505347200.0,9.266666666666667,0.0
6.0,2.0,26.013386,-111.339279,16.0,32.0,7.58,6.08,487.0,1516320000.0,9.5,0.0
6.0,2.0,26.013386,-111.339279,16.5,33.5,7.2,6.08,809.0,1518134400.0,9.45,0.0
20.0,2.0,25.814849,-111.31232,27.0,33.6,7.96,6.9,9139.0,1402012800.0,6.783333333333333,0.0
20.0,2.0,25.814849,-111.31232,26.0,32.1,7.31,6.01,8297.0,1412726400.0,7.566666666666666,0.0
20.0,2.0,25.814849,-111.31232,27.5,33.0,7.3,6.01,537.0,1443657600.0,6.466666666666667,0.0
20.0,2.0,25.814849,-111.31232,26.9,33.0,7.3,6.01,550.0,1445644800.0,7.75,0.0
20.0,2.0,25.814849,-111.31232,25.0,32.0,6.7,6.9,10112.0,1497484800.0,8.0,0.0
20.0,2.0,25.814849,-111.31232,33.0,31.0,6.82,6.09,1246.0,1501718400.0,8.75,0.0
20.0,2.0,25.814849,-111.31232,32.0,32.5,6.96,5.94,983.0,1505347200.0,7.666666666666667,0.0
23.0,4.0,26.025014,-111.344708,24.2,32.8,8.1,6.9,536.0,1402012800.0,10.75,0.0
23.0,4.0,26.025014,-111.344708,29.47,30.0,8.57,5.94,10112.0,1411516800.0,10.233333333333333,0.0
23.0,4.0,26.025014,-111.344708,28.71,31.7,7.28,6.01,9606.0,1412726400.0,10.1,0.0
23.0,4.0,26.025014,-111.344708,28.17,30.6,7.25,6.01,9606.0,1414454400.0,11.75,0.0
24.0,3.0,25.930998,-111.356266,31.7,33.6,7.88,6.33,210.0,1406678400.0,10.433333333333334,0.0
24.0,3.0,25.930998,-111.356266,26.03,24.7,7.14,6.01,7556.0,1412726400.0,8.516666666666667,0.0
21.0,3.0,26.001124,-111.337404,22.5,33.3,7.99,6.9,9600.0,1403049600.0,12.25,0.0
21.0,3.0,26.001124,-111.337404,30.81,29.5,7.92,6.33,9600.0,1404259200.0,12.366666666666667,0.0
21.0,3.0,26.001124,-111.337404,28.01,32.2,8.01,5.94,1008.0,1411516800.0,9.683333333333334,0.0
21.0,3.0,26.001124,-111.337404,27.64,32.2,7.33,6.01,9139.0,1412726400.0,9.6,0.0
21.0,3.0,26.001124,-111.337404,26.79,32.2,7.32,6.01,10112.0,1414454400.0,10.883333333333333,0.0
21.0,3.0,26.001124,-111.337404,24.9,34.5,6.81,6.77,5335.0,1463616000.0,10.5,0.0
21.0,3.0,26.001124,-111.337404,19.0,32.0,7.58,6.08,10112.0,1483660800.0,9.3,0.0
21.0,3.0,26.001124,-111.337404,24.0,31.0,6.7,6.9,10112.0,1497484800.0,9.583333333333334,0.0
7.0,3.0,26.0165,-111.340808,23.5,32.5,7.95,6.9,1292.0,1402012800.0,11.15,0.0
7.0,3.0,26.0165,-111.340808,27.75,32.8,8.0,6.9,7915.0,1403049600.0,11.016666666666667,0.0
7.0,3.0,26.0165,-111.340808,27.27,29.9,7.31,6.01,10112.0,1414454400.0,11.133333333333333,0.0
7.0,3.0,26.0165,-111.340808,27.5,32.4,8.13,5.94,230.0,1441929600.0,9.3,0.0
7.0,3.0,26.0165,-111.340808,19.5,33.0,7.23,6.74,1561.0,1449705600.0,10.166666666666666,0.0
7.0,3.0,26.0165,-111.340808,24.35,34.8,6.88,6.8,10112.0,1463616000.0,10.866666666666667,0.0
7.0,3.0,26.0165,-111.340808,16.0,32.0,7.58,6.08,683.0,1516320000.0,9.6,0.0
7.0,3.0,26.0165,-111.340808,16.5,34.0,7.2,6.08,1054.0,1518134400.0,9.583333333333334,0.0
7.0,3.0,26.007668,-111.338406,16.5,33.5,7.2,6.08,663.0,1518134400.0,9.316666666666666,0.0
